"Id","ProductId","UserId","ProfileName","HelpfulnessNumerator","HelpfulnessDenominator","Prediction","Time","Summary","Text"
216192,"B001BORBM4","A2M1G638X75XE2","R. Burns",2,2,4,1341187200,"Attention AMAZON:","I think Amazon is doing a disservice to Wellness Dry Dog Food by mingling all the reviews together rather than separating the opinions out, based on the particular type and ""flavor"" of the Wellness food being reviewed.  I was researching the food for SMALL BREEDS and zeroed in on that particular type, but the reviews were all over the place talking about many of the other varieties.<br />My experience with using the dry Wellness for Small Breeds, both the regular type and the Healthy Weight type has been excellent.  All out mini dachshunds love the food, have beautiful coats and are very healthy.  My only suggestion is that they offer the SMALL BREED variety in super size bags.  Buying 12 lbs at a time is ridiculous when one is feeding multiple dogs, and many of us with little guys, have more than one..... the potato chip theory, right?"
292445,"B000F7T92I","A1B02TIC9SK2AX","Teri Rankin ""Tgirl""",0,0,5,1299715200,"good stuff","<a href=""http://www.amazon.com/gp/product/B000F7T92I"">Traditional Blends Tea's-Smooth Move - 16 - Bag</a><br /><br />This tea really works good for me.  I like the taste and within 8 to 12 hours the business in the bathroom is being done.  Natural is the way to go!  I wish there was a bigger package of say 20 +."
287411,"B002T012EC","A1B5I3GQ9H2GL4","Ruben Diaz",0,0,2,1280102400,"Most broken!","Most of the box was broken upon arrival.  The shells that we could use were fine, but about 40% were unusable."
296089,"B001UV1JYY","A1MZNS0XJQKTXP","Quido Sarducci ""Quido Sarducci""",2,3,5,1246665600,"Great","I wasn't sure what I was getting in this package but when I opened it and tasted it, oh yeah it is a great product."
323518,"B003NUYBV8","AYJQCDRIIY0GZ","D. Schott",2,2,3,1322265600,"Crunchy","If you like a little crunch and not a lot of calories these are great. MUST like seaweed taste or sushi if not surely will not like."
398549,"B0025UC2DQ","A3KU83CSCFLLPM","kuaa",0,0,3,1337731200,"Taste is ok, but lots of fillers","Be aware that this is a Coke product and has a lot of other filler products/chemicals inside.  It is not pure stevia.  Look for other sources of pure stevia.  Taste is fine."
475539,"B001E53TMQ","A3OM2LD8V9901O","BITOHNY",0,0,5,1335484800,"Still mourning the loss of the best Crystal Light flavor EVER... Ruby Red Grapefruit","My sister-in-law gave us several different flavors of Crystal Light a few years ago, as she knows we like & drink the lemonade. I remember the Ruby Red Grapefruit C.L. was the last one we tried & sat up in our cupboard for a few months. One night when we ran out of everything else, we decided to be brave & try it. We were surprised to find that it didn't taste anything like what we thought... in fact, in a very short time it became our year-round, #1 favorite beverage, even replacing soda. It has a deliciously tangy, refreshing taste - but without the sour, grapefruity taste we'd expected - or the sugar & calories. So that's the good news. The bad, dreadful news is that they've decided not to make it anymore! So once Amazon & other suppliers are out of this particularly perfect flavor... it'll be gone for good. )-:  *sigh*. Come on! Let's band together & beg them to bring it back!"
551609,"B001KW59RQ","A2T8QY3DD4GA3R","my two cents ""my two cents""",0,0,5,1312243200,"love these ginger candy","i carry them around in case my tummy feels bad. so far they've been great. portable, tastes good, low price -- perfect!"
53467,"B001E5E0A6","A1GKVQNVWWJT0K","K.Marv ""Kat""",0,0,3,1330473600,"Good filling, odd tasting crust","Caveat: I'm pregnant, and I bought these to head off nausea when I get hungry (which occurs about every 90 minutes). I don't have too many food aversions, just HAVE to eat, so I'm pretty sure that this is not just being pregnant, but it could be my taste is off. Having to eat so much, I really wanted to get something which wasn't QUITE so bad in terms of corn syrup, additives, etc., but I may have to go back to Nutri-grain bars, which I know I like the taste of. The filling on these was good, but the graham surroundings just tasted weird to me. The texture of the crust was also slightly off. I force myself to eat these on occasion as long as my stomach isn't heaving, but I wish I had bought a single box in the store to make sure I liked them before buying a lot off Amazon (though at the time, I didn't feel like going to the store at all). If you are at all picky, you might want to do the same."
104368,"B000YSRK7E","A3EFSLEMHNPP6A","Senor Zoidbergo",0,0,5,1220400000,"Delish!","These were absolutely delicious.  They came very nicely packaged, with a thick and smooth exterior plastic packaging.  I was a little disappointed that the package was mainly air- there were only about 15 chips in the 1 oz. bag.  However, each chip was delicious and wholesome.<br /><br />They were perfectly seasoned- not too salty, but just enough to bring out the flavor.  The sesame and flax seeds were very evident, and a nice addition.  The ingredients list the chips as being partially made from corn, but frankly, they tasted mainly like whole wheat.<br /><br />I ate them plain, and they were excellent.  I think eating them with salsa would be a waste!"
416366,"B000UW38U2","A1J2JXJLPXQOPS","Starbird",0,0,5,1319500800,"raw cacao nibs","if you like chocolate.  then try these.  recipe ideas are endless.  ie:  mix with goji berries and coconut (dried or fresh), add a little bit of water and blend.  WOW!  packed with nutrients, energy and delicious.  or simply mix together and eat as is.  plenty of ideas and recipes via google.  enjoy."
27235,"B0033HGLTG","A1E7U7KXENI89W","N. Heuer",1,1,1,1350259200,"Very misleading description","I just received this and I expected this to be Decaf regular unflavored coffee.  This actually is a variety pack.  It has multiple flavors and I am not a fan of the non-decaf version of these flavors.  I will be returning..."
512534,"B000FFIUDE","AW3VZ5O895LRK","carol irvin ""carol irvin""",0,0,5,1251936000,"Husband Wouldn't Drink Desert Lime Numi So I Added Jasmine Green","My husband found Numi's Desert Lime tea ""too weird"" so I had to find a Numi variety he would also drink.  I still get Desert Lime but keep it to myself.  Since he already liked green tea, I figured this Jasmine Green was already partially in the ballpark so I bought it.  He loved it.  This tea also has a wonderful aroma (that is Jasmine obviously).  If I am going to serve Numi tea to someone, this is the one I take out to brew.  I've had other people comment on the Desert Lime's being weird so I don't chance it anymore.  The Jasmine Green seems to please everyone.  I think it is because they have drunk so much similar tea in Japanese and Chinese restaurants plus Starbucks and Caribou.  We like this tea iced or hot. I also enjoy it at room temperature.  Like all Numi teas, this has beautiful art on the front done by the woman partner in the Numi tea business."
359514,"B007M832YY","A2Y16WV77MR90E","Bored in Toledo",0,0,5,1315612800,"Tasty little chips","Pop Chips are quite unique. They are unlike any other potato chip I've ever tasted. Not greasy and not overly salty. Easily better than regular potato chips. I'm officially addicted to Pop Chips."
349955,"B0006J32A0","A2586UCR63062E","Dane Lover",0,0,5,1157673600,"AWESOME!  REALLY....THE BEST RAWHIDES I'VE FOUND!","Look no further.  I have two great danes and these have been their pacifiers since they were little.  If I ever need time without them under my feet, one of these rawhides always does the trick.  They last longer than other rawhides and don't go stale as quickly.  One of my girls is a strong chewer but it will still take her a few hours to get through one of these.<br /><br />I used to get these from Costco for $13 a bag but they stopped selling them. I then found someone through eBay for $18 list (although I would buy 5 bags at a time so I got them for $14/bag).  Now they don't sell this kind anymore and I miss them!  I just found these and plan to stock up.  The Cadet brand is GREAT!  You'll never want anything else once you try these!"
