Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Prediction,Time,Summary,Text
138701,B001IZBE2Y,A1CCDESMIIA871,Nate,0,0,5,1307836800,"Delicious, Chocolatey, and filling","These bars have a generous quantity of chocolate and are delicious to eat, and are a great value when they are on sale. Unlike some breakfast bars, these protein bars are regular granola-bar sized, and are also fairly filling; they work great as a morning snack to keep you full for several hours.<br /><br />The bar doesn't have cereal, and is a bit gritty when chewing, but the bar in total makes up for it. I have already gone through several boxes of these and have enjoyed eating them."
2360,B00637N4H0,A2W3TGPT9MW4T0,Curatina,6,6,5,1322956800,Finally! Something good from Gevalia,"This is the best thing from Gevalia.  I was drinking the Starbucks Africa and Verona before ""the breakup.""  I tried the Dark Breakfast from Gevalia, but it's horrible.  I can only drink it after adding the Maestro Lorenzo Espresso Intensivo.  That makes quite a nice cup with a good kick to it.  I even need a little cream in it to smooth it out a bit.<br /><br />But this one is just right.  It's a nice strong cup that doesn't need cream, but can take cream without losing flavor.  This is the first hope I have had for saving my Tassimo machine.  I don't want to go back to the Keurig.<br /><br />p.s.  I would still like a good decaf option.  Right now I use the Gevalia Signature decaf and add a shot of Gevalia decaf espresso to jazz it up."
211155,B0001KH5U2,ASH8J20IMQPCZ,cblstne,0,0,5,1316304000,Childhood memories,I have been wanting some Chokecherry jelly for years.  We used to spend every summer with my grandparents in Kansas and my grandmother would scope out the bushes and when they were ready she would pick and make jelly every year.  This is the first time I have had chokecherry jelly in 30 years or better.  Loved it.  Bought enough to give all my siblings a jar for their birthdays!!!!
279077,B001BLXRPC,A1MGP9NZQ5V7KU,Patricia L. Ovitt,1,1,2,1186531200,Disappointed,"I have always loved these chips and buy them often at the grocery store. Since Amazon offered them at a very good price I purchased a case, However, upon receipt I was disappointed and immediately notified the company (Garden of Eatin). They were not as good as the ones in the grocery store (they seemed to be darker and greasier)and I wondered if they were old. The expiration date indicates they are fine. I do not dislike them, though I love the store ones, and have decided to keep them. Salsa can fix anything. However, I will not purchase them again in bulk from Amazon. My biggest disappointment has been that the company never responded to my email."
26950,B000H2405M,AIOZO5415W1F5,Michael Davis,1,1,5,1295481600,It IS the Best Darn Chili!!!!,"Easy to make, best chili for the least amount of work and time....even previous non-chili lovers in my family now offer to make (and eat it all)chili."
543567,B006MONQMC,AKT8TGIT6VVZ5,John Kwok,0,0,4,1336348800,Decent Vitamin-Enhancing Fruit Punch,"Vitamin Squeeze Water Enhancer Energy-C Fruit Punch is a vitamin-enriched drink that will interest anyone with a most active, vigorous sports-oriented lifestyle. It is fortified with various vitamins such as C and the B series, and electrolytes, with zero calories, sugar and carbohydrates.  I found its taste to be too sweet that I opted to dilute it in half with freshly squeezed orange juice; the punch's taste was still quite sweet even after I had diluted it. Others, however, may feel differently about the drink's taste. Without a doubt, it is a worthy addition to energy boosting drinks of which Gatorade may be the best known - and best loved - example.  For the active sports enthusiast, this is a drink that should be considered as a potential substitute for Gatorade."
263538,B005X4HN8U,A1HJHQA3UCV8ZB,William C Joyce,1,1,5,1341187200,Good for Healthy Pizza Crust,"Replaced standard flour with this, and made pizza crust on a pizza stone. Was really good. Much crispier and fluffier than using 100% whole wheat flour, yet still more healthy than regular white flour. My only complaint is I wish it was cheaper."
111661,B0006606V6,A2F7YEICFUPN3C,mirenne,3,4,5,1270080000,Cats need chew toys too!,"My male cat, Timmy, loves to chew.  But let's be honest.  When you go into the pet store, looking for toys, what do you find? There are things that roll, things to hunt, feathers and fur to tantalize and tickle.  Only PetStages has recognized that, yes, sometimes cats do enjoy the feeling of chomping down on something and giving it a hard shake for good measure.  That's why I love this company so much.  Their toys are not only unique, they are also intuitive to what cats both enjoy and need.  As for this particular item, my Timmy has never outgrown it.  From kittenhood to almost 4 years old, he's gone through a long string of Catnip Chew Toys.  In fact, many's the morning when he's hopped out of bed, groomed himself momentarily, and started chewing and tossing his catnip ring.  I think he likes this one better than the other chewing rings by Petstages because the cloth is smooth and has a firm filling of fibers.  He will literally drive his teeth through the cloth as hard as he can.  Personally, I'm happy because:  A# He's happy.  B) He's cleaning his own teeth.  C)I'd much rather he be chewing on a ring then on my fingers or somewhere inappropriate!  #Which has never been a problem, btw.  Then again, he's always had one of these toys!)  Anyway, when my local pet store stopped carrying them, I panicked.  Thank goodness Amazon and KV sells them online.  And for a far cheaper price, I might add!!!"
330150,B001OHX1ZY,A1CYA8PU9B9EYR,Josh,3,7,1,1305763200,Taste Really Gross,This Item Taste Like Dirt.. I've Prob Used it 4 Times & Now It's Just Sitting in MY Freezer.. I Have A High Tolerance for Nasty Stuff.. Just Don't Really Like this Product.. Something In Grinding It Up Makes It Taste Nasty.. The Hulled Seeds Nutiva Sells Are Way Better.. If You Want Good Tasting Hemp Protein Powder It's $15/lb @ Earthshiftproducts.com  but It Taste Wayyy Better Actually Taste Good From Earthshift..
411810,B000CQC05U,A1O63UOW5GXQ0D,Lev Feldman,0,1,1,1320710400,The tea smells like a medicine.,"The tea smells like a medicine with Anise flavor before even brewing it. No one in my family could drink it as it has strong anise flavor. There is not even a slight trace of bergamot flavor... I called STASH customer service to see perhaps the pack was mislabeled, no one answered or called me back. I  am sending this back."
518945,B0019VCEIA,AN2H2SOBLFP5V,K. C.,1,1,1,1325462400,Overpriced and not that good,"For $7.50 a bar I expected something really good, but these chocolates were marginal at best. Out of the 6 people who tried it, not one liked the taste or combo. We couldn't even give it to the dog to finish (chocolate is toxic to canines). Disappointing for sure and now I'm scared to try any more products from this company because of the high prices. Too bad, they have what seems like interesting chocolate combos. To be fair, maybe it's an aquired taste?"
363133,B001EQ5O5U,A1YJXYVBNIHV7A,Heidi Kempt,12,19,2,1212969600,NOT a great deal,the price for 3 12-ounce bags at Amazon is higher than the price for 2 1lb bags on the sbucks website - with the free s/h at Amazon you save a whopping 10 cents over the sbuck price once you add their shipping. Why not walk/drive/send someone to the closest sbucks and save $6.50?
541035,B004VLVB4S,AIFHAU95VN5PC,Rainy Day,1,1,5,1322438400,Very Tasty & Healthy Oatmeal,"This oatmeal is full of flavor and is a quality product. I agree with the previous reviewer that it's wonderful with bananas and walnuts or pecans. I've even added blueberries, honey roasted peanuts, hazelnut creamer and Truvia as a sweetener. It cooks great in the microwave for 1 to 1 1/2 minutes depending on how much water you add to the bowl."
24343,B001E5E1NM,A2S2KTVZAOOWY,angela,0,0,5,1340496000,Tastes like Heinz!,"I bought this ketchup at my local health food store since I've started a ""Whole Foods"" diet. I was afraid that it wasn't going to taste anything like our beloved Heinz ketchup since a lot of natural/ organic products don't taste as good as the stuff we're used to. Well luckily this tastes the same, maybe even better! I'm very happy I found it & have even shared it on my blog I like it so much. If you're looking for an alternative to the HFCS laden ketchup (which has HFCS & regular corn syrup!) this is it."
79696,B0061UQBSS,A2ZNLRFD4PEH1N,lucykate400,10,15,5,1321488000,"Best K-Cup,hands down...","I have tried all the Coffee People flavors (Jet Fuel, Tiger, Wake up Call,) as well as most of the Green Mountain flavors. I have found that the Sumatra by SB is the best tasting one of them all. It makes me happy to get out of bed and have my Sumatra coffee. When you brew this coffee, it has a ""head"" on it when it comes out of the Keurig spout, it is just like the smell at the SB store, and also has that very fresh taste. I have found that most of the KCups are either crazy weak, or just too acidic for my taste...I swear, thank goodness SB finally got in the KCup game. No, I do not work for SB."
364783,B000PDY3HI,A29T0OG8AXL8AV,Rocklin Reviewer,3,6,1,1304467200,Avoid this popcorn,After making several batches using different techniques I can only get 50% of the kernels to pop.  I used a different brand of kernels with much better results.  The only conclusion I can come to is that these packages are stale.  It doesn't help that there is no expiration or manufacture date listed anywhere on the packages.  I would recommend to not buy this product.
526695,B007PA30TG,A1N58XGILUVX6S,Martin B. Kerschus,0,0,3,1350000000,Too weak,I expected a little more flavor as I usually like Green Mountain Coffees.<br />Next time I'll look for a French Roast!
224408,B004IJFZ54,A321J5INI8AAAL,"Baker71 ""MichSam""",0,0,5,1289260800,YUMMY!,"Yummy! Enough Said. These little cookies are so good. Perfect amount of sweetness, chocate and crispness. Will definitely be ordering again!"
381997,B004VLSWWW,A1146OEQQ0ZV6N,Grandmalmo,0,0,5,1349395200,Hard White Wheat Berries,"Very clean source of whole grain.  I check it all.  No impurities found!!  I still freeze whole grains to take care of anything not visible to the eye.  <a href=""http://www.amazon.com/gp/product/B004VLSWWW"">Bob's Red Mill Org Hard White Wheat Berries, 28-Ounce (Pack of 4)</a>"
495777,B0098WV8F2,A2WKCIHO7GVPDQ,Kate,1,1,5,1329091200,I'm never going back to traditional peanut butter,"PB2 was recommended to me by a weight watchers leader. I ordered this 2-pack and I love it so much that I've already ordered a pound of the traditional variety! Even my husband (who barely tolerates peanut butter) likes PB2. He says it tastes more like peanuts than traditional peanut butter (and I think he's right).<br /><br />The chocolate variety was originally described to me as ""similar to nutella"" and unfortunately, I don't think it is. It's just a slightly sweeter, vaguely chocolatey version of the original PB2. It's good, but it will never be as satisfying as nutella.<br /><br />Overall, I love both varieties of PB2. They're best mixed in with other ingredients, like in a PBJ sandwich or in baked goods. My favorite use is to put 2 tablespoons in a berry smoothie, which adds protein and makes it taste like a PBJ. If you try to eat PB2 solo, by the spoonful, you might be disappointed. They are lacking a bit of the richness that makes peanut butter so addictive.<br /><br />Lastly, this stuff is pricier than regular peanut butter (especially when you consider that the powder is fluffy and it loses volume when you mix it with water), but I think it's well worth the cost."
386734,B007OXJLZQ,A3W28G9LTIGQQG,"J. D. Kinion ""gadget queen""",0,0,5,1317859200,Great coffee,I am so glad to find flavored coffee  k-cups  My husband and I both love the taste and the aroma.
418836,B002ZOG2K6,A3L5WU1B9EWNQQ,Darian P. Paganelli,2,5,5,1283472000,less expensive in warehouse club stores,"Why buy this coffee on line. Pick it up at BJ's,Costco or Sams in the large bag for about 11 dollars. By the way, it is a very good strong and sweet coffee.<br /><br />regards, Pag"
277290,B000VK8AVK,A2RHV42BTJSVON,"Liolania ""In2Jesus""",0,0,5,1329004800,"If You Like Sweet Potatos, You'll Like These.","I am glad I got a whole case of these, simple because, after the first bag (keep in mind, these are small single serving bags), I was not impressed, and the sweet potato flavor overwhelmed me, but after eating my second bag, I liked them, a lot!<br /><br />  They are a little salty, but still sweet, and they are a bit akin to the chip version of a baked sweet potato with some butter and maple syrup, or at least that's how they tasted to me after getting over the initial reaction anyway!<br /><br />  My husband ended up eating the majority of them, not because I didn't want to eat them, but because he liked them so much!  It took little over a week for him to eat 2/3 of the box...  ;P  Me eating a bag like every other day, not realizing my supply was rapidly diminishing....<br /><br />  Needless to say, I will absolutely be buying myself a case of these in the very near future!  A great snack, and a wonderful change to the normal pop chips!  :D<br /><br />  God Bless ~Amy"
